Designator,Footprint,Quantity,Value,LCSC Part #
A1,Adafruit_BNO085,1,BNO085,
C_LED1,CP_Radial_D10.0mm_P5.00mm,1,1000uF,
C_i2C1,0805,1,10uF,C39232
Cbst1,0805,1,0.1uF,C519981
Cin1,1210,1,10uF,C39232
"Cout1, Cout2",1210,2,22uF,C65428
D1,0603,1,MOTOR_LED,C434423
D2,0603,1,Power LED,C84263
E1,JST_PH_S4B-PH-SM4-TB_1x04-1MP_P2.00mm_Horizontal,1,Encoder L,C265116
E2,JST_PH_S4B-PH-SM4-TB_1x04-1MP_P2.00mm_Horizontal,1,Encoder R,C265116
F1,1206,1,2A,C355683
F2,1206,1,20A,C207007
J10,TerminalBlock_Phoenix_MKDS-3-4-5.08_1x04_P5.08mm_Horizontal,1,Power IO,
J2,PinHeader_1x03_P2.54mm_Vertical,1,WS2812B LED,
J3,PinHeader_1x04_P2.54mm_Vertical,1,3.3V,
J4,PinHeader_1x04_P2.54mm_Vertical,1,GND,
J5,PinHeader_1x04_P2.54mm_Vertical,1,5V,
J6,PinHeader_1x04_P2.54mm_Vertical,1,I2C,
J7,PinHeader_1x04_P2.54mm_Vertical,1,UART,
J8,PinHeader_1x05_P2.54mm_Vertical,1,Motor Control,
L1,L_Vishay_IHLP-4040,1,3.3uH,C845075
Q1,SOT95P285X140-6N,1,DMMT5401-7-F,C154733
Q2,SOT91P240X110-3N,1,DMG2305UX-13,C144153
"Qw1, Qw2, Qw3, Qw4",JST_SH_BM04B-SRSS-TB_1x04-1MP_P1.00mm_Vertical,4,Qwiic,C160390
"R1, R2, R3, R4, R_I2C_PULLUP1, R_TFT1, R_ZVD_1, Rfbb1",0402,8,10K,C60490
RBAT1,0402,1,8.2k,C25924
RBAT2,0402,1,2k,C4109
RN1,Resistor Network 8X 10N,1,10K,C2654032
"R_LED1, R_MOTOR1, R_PWR1",0402,3,1kΩ,C21190
R_ZVD_2,0402,1,47K,C25792
Rfbt1,0402,1,56.2k,C183355
S1,SW_Slide_1P2T_CK_OS102011MS2Q,1,Power SW,
SW1,SW_PUSH_6mm,1,Reset SW,
U1,ProS3_TH,1,ProS3,
U2,SOP65P640X120-24N,1,TCA9548APWR,C130026
U3,SOT95P280X110-6N,1,TPS564208DDCT,C2070774
U4,Hirose_FH12-18S-0.5SH_1x18-1MP_P0.50mm_Horizontal,1,EYESPI,C2856802
